raw_name,restaurant_name,price,ground_truth_name,ground_truth_category,ground_truth_cuisine,ground_truth_attributes
miso soup,Restaurant 1,$8.18,Miso Soup,Soup,Japanese,Vegetarian|Healthy
Fresh Orange Juice,Restaurant 9,$19.82,Fresh Orange Juice,Beverage,American,Healthy|Organic
French Fries,Restaurant 9,$10.35,French Fries,Side Dish,American,Fried|Vegetarian
Chocolate Cake,Restaurant 16,$14.34,Chocolate Cake,Dessert,American,Large Portion
bufflo wings,Restaurant 11,$8.77,Buffalo Wings,Appetizer,American,Spicy|Fried
French Fries,Restaurant 18,$17.08,French Fries,Side Dish,American,Fried|Vegetarian
margherita pizza,Restaurant 7,$12.40,Margherita Pizza,Pizza,Italian,Vegetarian
Chicken Caesar Salad,Restaurant 4,$6.68,Chicken Caesar Salad,Salad,American,Healthy|Protein-Rich
ice cream sundae,Restaurant 3,$12.62,Ice Cream Sundae,Dessert,American,Large Portion
Garlic Bread,Restaurant 9,$25.68,Garlic Bread,Side Dish,Italian,Vegetarian
Greek Gyro,Restaurant 16,$26.76,Greek Gyro,Sandwich,Greek,Halal|Spicy
Calamari Rings,Restaurant 18,$15.04,Calamari Rings,Appetizer,Italian,Fried
Buffalo Wings,Restaurant 13,$15.26,Buffalo Wings,Appetizer,American,Spicy|Fried
fresh orange juice,Restaurant 15,$8.38,Fresh Orange Juice,Beverage,American,Healthy|Organic
calamri rings,Restaurant 18,$15.11,Calamari Rings,Appetizer,Italian,Fried
Buffalo Wings,Restaurant 8,$23.91,Buffalo Wings,Appetizer,American,Spicy|Fried
Hummus with Pita,Restaurant 4,$16.64,Hummus with Pita,Appetizer,Middle Eastern,Vegetarian|Healthy
green tea,Restaurant 15,$27.62,Green Tea,Beverage,Japanese,Healthy
fresh orange juice,Restaurant 13,$12.58,Fresh Orange Juice,Beverage,American,Healthy|Organic
Chocolate Cake,Restaurant 20,$23.87,Chocolate Cake,Dessert,American,Large Portion
rice pilaf,Restaurant 3,$27.82,Rice Pilaf,Side Dish,Middle Eastern,Vegetarian
buffalo wings,Restaurant 13,$29.20,Buffalo Wings,Appetizer,American,Spicy|Fried
garlic bread,Restaurant 15,$27.82,Garlic Bread,Side Dish,Italian,Vegetarian
greek gyro,Restaurant 20,$15.78,Greek Gyro,Sandwich,Greek,Halal|Spicy
spaghetti carbonara,Restaurant 4,$29.53,Spaghetti Carbonara,Pasta,Italian,Large Portion
mozzarella  sticks,Restaurant 7,$21.39,Mozzarella Sticks,Appetizer,Italian,Vegetarian|Fried
tiramisu,Restaurant 6,$8.63,Tiramisu,Dessert,Italian,
chkn shawarma w/ fries,Restaurant 15,$7.75,Chicken Shawarma with Fries,Main Dish,Middle Eastern,Spicy|Large Portion|Halal
beef burger with cheese,Restaurant 4,$26.46,Beef Burger with Cheese,Burger,American,Large Portion
Ice Cream Sundae,Restaurant 14,$16.83,Ice Cream Sundae,Dessert,American,Large Portion
Chicken Tikka Masala,Restaurant 16,$7.60,Chicken Tikka Masala,Main Dish,Indian,Spicy|Dairy-Free
RICE PILAF,Restaurant 14,$14.48,Rice Pilaf,Side Dish,Middle Eastern,Vegetarian
Fresh Orange Juice,Restaurant 2,$29.23,Fresh Orange Juice,Beverage,American,Healthy|Organic
tiramisu,Restaurant 9,$19.77,Tiramisu,Dessert,Italian,
Garlic Bread,Restaurant 20,$20.72,Garlic Bread,Side Dish,Italian,Vegetarian
Ice Cream Sundae,Restaurant 9,$6.68,Ice Cream Sundae,Dessert,American,Large Portion
SPAGHETTI CARBONARA,Restaurant 5,$23.77,Spaghetti Carbonara,Pasta,Italian,Large Portion
chicken shawarma with fries,Restaurant 2,$22.17,Chicken Shawarma with Fries,Main Dish,Middle Eastern,Spicy|Large Portion|Halal
Spaghetti Carbonara,Restaurant 14,$12.55,Spaghetti Carbonara,Pasta,Italian,Large Portion
French Fries,Restaurant 20,$7.30,French Fries,Side Dish,American,Fried|Vegetarian
vegetable stir fry,Restaurant 12,$7.72,Vegetable Stir Fry,Main Dish,Chinese,Vegetarian|Healthy
coca cola,Restaurant 19,$15.70,Coca Cola,Beverage,American,
ice cream sundae,Restaurant 5,$11.66,Ice Cream Sundae,Dessert,American,Large Portion
chiken caesar salad,Restaurant 19,$7.34,Chicken Caesar Salad,Salad,American,Healthy|Protein-Rich
chicken noodle soup,Restaurant 2,$11.94,Chicken Noodle Soup,Soup,American,Healthy
Calamari Rings,Restaurant 12,$14.94,Calamari Rings,Appetizer,Italian,Fried
greek gyro,Restaurant 5,$20.27,Greek Gyro,Sandwich,Greek,Halal|Spicy
beef burger with cheese,Restaurant 17,$8.23,Beef Burger with Cheese,Burger,American,Large Portion
